state,sdca,std_code
AN,ANDAMAN ISLANDS,3192
AN,NICOBAR ISLANDS,3193
AP,ADILABAD,8732
AP,ASIFABAD,8733
AP,BELLAMPALLI,8735
AP,BHAINSA,8752
AP,BOATH (ECHODA),8751
AP,CHINNOR,8737
AP,JANNARAM (LUXITTIPET),8739
AP,KHANAPUR (AP),8730
AP,MANCHERIAL,8736
AP,NIRMAL,8734
AP,OUTSARANGAPALLE,8753
AP,SIRPURKAGAZNAGAR,8738
AP,UTNOR,8731
AP,ANANTAPUR,8554
AP,DHARMAVARAM,8559
AP,GARLADINNE,8551
AP,GOOTY (GUNTAKAL),8552
AP,HINDUPUR,8556
AP,KADIRI,8494
AP,KALYANDURG,8497
AP,KAMBADUR,8492
AP,KANAGANAPALLE,8491
AP,MADAKASIRA,8493
AP,,8498
AP,PENUKONDA,8557
AP,RAYADURG,8495
AP,TADIPATRI,8558
AP,URAVAKONDA,8496
AP,YELLANURU,8550
AP,B.KOTHAKOTA,8582
AP,BANGARUPALEM,8573
AP,CHITTOOR,8572
AP,KUPPAM,8570
AP,MADANAPALLI,8571
AP,PAKALA,8585
AP,PALMANERU,8579
AP,PILER,8584
AP,PUNGANUR,8581
AP,PUTTURU,8577
AP,SATYAVEDU,8576
AP,SODAM,8583
AP,SRIKALAHASTHI,8578
AP,TIRUPATHI,877
AP,VAYALPAD,8586
AP,VENKATGIRIKOTA,8587
AP,BADVEL,8569
AP,CUDDAPAH,8562
AP,JAMMALAMADUGU,8560
AP,,8563
AP,KODURU,8566
AP,LAKKIREDDIPALLI,8567
AP,PRODDATUR,8564
AP,PULIVENDLA,8568
AP,RAJAMPETA,8565
AP,RAYACHOTI,8561
AP,SIDDAVATTAM,8589
AP,VAIMPALLI,8588
AP,BHIMADOLE,8829
AP,BHIMAVARAM,8816
AP,CHINTALAPUDI,8823
AP,ELURU,8812
AP,JANGAREDDYGUDEM,8821
AP,KOVVUR (NIDADAVOLU),8813
AP,NARSAPUR (PALAKOLE),8814
AP,POLAVARAM,8811
AP,TADEPALLIGUDEM,8818
